Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
47,0.00049500,0.00016700,0.00053200,0.00069500,0.00017500,0.00029300,0.00027700,0.00007500,0.00000300,0.00000200,0.00000400,0.00001000,0.00000200,0.00000600,0.00000600,0.00000300
48,0.00049500,0.00016700,0.00053200,0.00069500,0.00017500,0.00029300,0.00027700,0.00007500,0.00000300,0.00000200,0.00000400,0.00001000,0.00000200,0.00000600,0.00000600,0.00000300
49,0.00049500,0.00016700,0.00053200,0.00069500,0.00017500,0.00029300,0.00027700,0.00007500,0.00000300,0.00000200,0.00000400,0.00001000,0.00000200,0.00000600,0.00000600,0.00000300
50,0.00091900,0.00030900,0.00096500,0.00122100,0.00031200,0.00053700,0.00056600,0.00016000,0.00000400,0.00000200,0.00000500,0.00001400,0.00000300,0.00000900,0.00000900,0.00000500
51,0.00091900,0.00030900,0.00096500,0.00122100,0.00031200,0.00053700,0.00056600,0.00016000,0.00000400,0.00000200,0.00000500,0.00001400,0.00000300,0.00000900,0.00000900,0.00000500
52,0.00091900,0.00030900,0.00096500,0.00122100,0.00031200,0.00053700,0.00056600,0.00016000,0.00000400,0.00000200,0.00000500,0.00001400,0.00000300,0.00000900,0.00000900,0.00000500
53,0.00091900,0.00030900,0.00096500,0.00122100,0.00031200,0.00053700,0.00056600,0.00016000,0.00000400,0.00000200,0.00000500,0.00001400,0.00000300,0.00000900,0.00000900,0.00000500
54,0.00091900,0.00030900,0.00096500,0.00122100,0.00031200,0.00053700,0.00056600,0.00016000,0.00000400,0.00000200,0.00000500,0.00001400,0.00000300,0.00000900,0.00000900,0.00000500
55,0.00147500,0.00049900,0.00151000,0.00204900,0.00048600,0.00089500,0.00098300,0.00029100,0.00000500,0.00000300,0.00000600,0.00001900,0.00000300,0.00001100,0.00001300,0.00000700
56,0.00147500,0.00049900,0.00151000,0.00204900,0.00048600,0.00089500,0.00098300,0.00029100,0.00000500,0.00000300,0.00000600,0.00001900,0.00000300,0.00001100,0.00001300,0.00000700
