Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.00000750,0.00000540,0.00000740,0.00001480,0.00000500,0.00001280,0.00000350,0.00000230,0.00000040,0.00000030,0.00000050,0.00000130,0.00000040,0.00000120,0.00000050,0.00000050
21,0.00000750,0.00000540,0.00000740,0.00001480,0.00000500,0.00001280,0.00000350,0.00000230,0.00000040,0.00000030,0.00000050,0.00000130,0.00000040,0.00000120,0.00000050,0.00000050
22,0.00000750,0.00000540,0.00000740,0.00001480,0.00000500,0.00001280,0.00000350,0.00000230,0.00000040,0.00000030,0.00000050,0.00000130,0.00000040,0.00000120,0.00000050,0.00000050
23,0.00000750,0.00000540,0.00000740,0.00001480,0.00000500,0.00001280,0.00000350,0.00000230,0.00000040,0.00000030,0.00000050,0.00000130,0.00000040,0.00000120,0.00000050,0.00000050
24,0.00000750,0.00000540,0.00000740,0.00001480,0.00000500,0.00001280,0.00000350,0.00000230,0.00000040,0.00000030,0.00000050,0.00000130,0.00000040,0.00000120,0.00000050,0.00000050
25,0.00001370,0.00001050,0.00001230,0.00003180,0.00000880,0.00002640,0.00000820,0.00000610,0.00000050,0.00000040,0.00000060,0.00000200,0.00000050,0.00000180,0.00000080,0.00000080
26,0.00001370,0.00001050,0.00001230,0.00003180,0.00000880,0.00002640,0.00000820,0.00000610,0.00000050,0.00000040,0.00000060,0.00000200,0.00000050,0.00000180,0.00000080,0.00000080
27,0.00001370,0.00001050,0.00001230,0.00003180,0.00000880,0.00002640,0.00000820,0.00000610,0.00000050,0.00000040,0.00000060,0.00000200,0.00000050,0.00000180,0.00000080,0.00000080
28,0.00001370,0.00001050,0.00001230,0.00003180,0.00000880,0.00002640,0.00000820,0.00000610,0.00000050,0.00000040,0.00000060,0.00000200,0.00000050,0.00000180,0.00000080,0.00000080
29,0.00001370,0.00001050,0.00001230,0.00003180,0.00000880,0.00002640,0.00000820,0.00000610,0.00000050,0.00000040,0.00000060,0.00000200,0.00000050,0.00000180,0.00000080,0.00000080
30,0.00002490,0.00001750,0.00002270,0.00005460,0.00001430,0.00004490,0.00001740,0.00001130,0.00000070,0.00000060,0.00000090,0.00000280,0.00000070,0.00000250,0.00000120,0.00000100
31,0.00002490,0.00001750,0.00002270,0.00005460,0.00001430,0.00004490,0.00001740,0.00001130,0.00000070,0.00000060,0.00000090,0.00000280,0.00000070,0.00000250,0.00000120,0.00000100
32,0.00002490,0.00001750,0.00002270,0.00005460,0.00001430,0.00004490,0.00001740,0.00001130,0.00000070,0.00000060,0.00000090,0.00000280,0.00000070,0.00000250,0.00000120,0.00000100
33,0.00002490,0.00001750,0.00002270,0.00005460,0.00001430,0.00004490,0.00001740,0.00001130,0.00000070,0.00000060,0.00000090,0.00000280,0.00000070,0.00000250,0.00000120,0.00000100
34,0.00002490,0.00001750,0.00002270,0.00005460,0.00001430,0.00004490,0.00001740,0.00001130,0.00000070,0.00000060,0.00000090,0.00000280,0.00000070,0.00000250,0.00000120,0.00000100
