Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
53,0.004736,0.003214,0.004858,0.006594,0.003313,0.004649,0.003387,0.001950,0.000009,0.000008,0.000011,0.000032,0.000009,0.000025,0.000022,0.000016
54,0.004736,0.003214,0.004858,0.006594,0.003313,0.004649,0.003387,0.001950,0.000009,0.000008,0.000011,0.000032,0.000009,0.000025,0.000022,0.000016
55,0.006996,0.004577,0.007016,0.010306,0.004648,0.006686,0.004999,0.002886,0.000012,0.000009,0.000014,0.000042,0.000011,0.000031,0.000030,0.000022
56,0.006996,0.004577,0.007016,0.010306,0.004648,0.006686,0.004999,0.002886,0.000012,0.000009,0.000014,0.000042,0.000011,0.000031,0.000030,0.000022
57,0.006996,0.004577,0.007016,0.010306,0.004648,0.006686,0.004999,0.002886,0.000012,0.000009,0.000014,0.000042,0.000011,0.000031,0.000030,0.000022
58,0.006996,0.004577,0.007016,0.010306,0.004648,0.006686,0.004999,0.002886,0.000012,0.000009,0.000014,0.000042,0.000011,0.000031,0.000030,0.000022
59,0.006996,0.004577,0.007016,0.010306,0.004648,0.006686,0.004999,0.002886,0.000012,0.000009,0.000014,0.000042,0.000011,0.000031,0.000030,0.000022
60,0.009800,0.006346,0.009703,0.015165,0.006401,0.009154,0.007195,0.004289,0.000015,0.000012,0.000017,0.000058,0.000013,0.000041,0.000042,0.000031
61,0.009800,0.006346,0.009703,0.015165,0.006401,0.009154,0.007195,0.004289,0.000015,0.000012,0.000017,0.000058,0.000013,0.000041,0.000042,0.000031
62,0.009800,0.006346,0.009703,0.015165,0.006401,0.009154,0.007195,0.004289,0.000015,0.000012,0.000017,0.000058,0.000013,0.000041,0.000042,0.000031
63,0.009800,0.006346,0.009703,0.015165,0.006401,0.009154,0.007195,0.004289,0.000015,0.000012,0.000017,0.000058,0.000013,0.000041,0.000042,0.000031
64,0.009800,0.006346,0.009703,0.015165,0.006401,0.009154,0.007195,0.004289,0.000015,0.000012,0.000017,0.000058,0.000013,0.000041,0.000042,0.000031
65,0.013456,0.009351,0.013475,0.019783,0.009594,0.012275,0.009931,0.006351,0.000019,0.000015,0.000022,0.000079,0.000018,0.000055,0.000059,0.000043
66,0.013456,0.009351,0.013475,0.019783,0.009594,0.012275,0.009931,0.006351,0.000019,0.000015,0.000022,0.000079,0.000018,0.000055,0.000059,0.000043
67,0.013456,0.009351,0.013475,0.019783,0.009594,0.012275,0.009931,0.006351,0.000019,0.000015,0.000022,0.000079,0.000018,0.000055,0.000059,0.000043
68,0.013456,0.009351,0.013475,0.019783,0.009594,0.012275,0.009931,0.006351,0.000019,0.000015,0.000022,0.000079,0.000018,0.000055,0.000059,0.000043
69,0.013456,0.009351,0.013475,0.019783,0.009594,0.012275,0.009931,0.006351,0.000019,0.000015,0.000022,0.000079,0.000018,0.000055,0.000059,0.000043
70,0.020376,0.014740,0.020686,0.027505,0.015324,0.017671,0.014988,0.009867,0.000029,0.000022,0.000032,0.000116,0.000026,0.000079,0.000089,0.000064
71,0.020376,0.014740,0.020686,0.027505,0.015324,0.017671,0.014988,0.009867,0.000029,0.000022,0.000032,0.000116,0.000026,0.000079,0.000089,0.000064
72,0.020376,0.014740,0.020686,0.027505,0.015324,0.017671,0.014988,0.009867,0.000029,0.000022,0.000032,0.000116,0.000026,0.000079,0.000089,0.000064
73,0.020376,0.014740,0.020686,0.027505,0.015324,0.017671,0.014988,0.009867,0.000029,0.000022,0.000032,0.000116,0.000026,0.000079,0.000089,0.000064
74,0.020376,0.014740,0.020686,0.027505,0.015324,0.017671,0.014988,0.009867,0.000029,0.000022,0.000032,0.000116,0.000026,0.000079,0.000089,0.000064
75,0.031651,0.023588,0.032478,0.038875,0.024648,0.026125,0.023394,0.016377,0.000043,0.000033,0.000049,0.000170,0.000038,0.000112,0.000135,0.000097
76,0.031651,0.023588,0.032478,0.038875,0.024648,0.026125,0.023394,0.016377,0.000043,0.000033,0.000049,0.000170,0.000038,0.000112,0.000135,0.000097
